Title1,Textbox33,Title2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2019,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2019 and displays the percent change from the previous year.,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Yukon-Charley Rivers NPRES,"1,114",-12.42%,"3,981",-46.48%,0,,"47,780",-46.47%,0,,0,,0,,0,,0,,"1,898",-47.47%,670,,0,-16.25%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
American Samoa,National Park of American Samoa,"60,006",109.62%,"10,000",109.60%,0,,"120,010",109.62%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"60,006",109.62%,"10,000",109.60%,0,,"120,010",109.62%,0,,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Canyon de Chelly NM,"460,757",4.88%,"261,511",5.65%,"702,768",10.75%,"3,138,142",5.65%,"1,405,534",10.75%,"15,887",1.42%,"14,437",18.43%,0,,0,,810,3140.00%,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Casa Grande Ruins NM,"68,379",8.55%,"7,761",8.55%,"2,160",0.00%,"93,138",8.55%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Chiricahua NM,"60,655",0.13%,"27,925",2.34%,"3,600",0.00%,"335,110",2.34%,"1,200",0.00%,0,,0,,"7,157",23.55%,"5,231",-20.79%,0,,0,-22.45%,"1,199",,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Coronado NMEM,"130,328",26.26%,"12,949",32.23%,"2,508",0.00%,"155,389",32.22%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Fort Bowie NHS,"7,577",-9.81%,"1,262",-9.86%,0,,"15,154",-9.81%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Glen Canyon NRA,"841,034",-2.85%,"417,685",-3.43%,"33,465",21.25%,"5,012,228",-3.43%,"401,603",21.26%,"59,150",-6.11%,"64,492",-18.37%,"11,144",5.71%,"3,486",-26.90%,0,,0,-4.41%,"490,850",,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Grand Canyon NP,"5,974,411",-6.36%,"7,832,927",-6.48%,"21,249",-10.52%,"93,995,133",-6.48%,"21,249",-10.52%,"575,922",-13.26%,"47,401",22.08%,"120,208",-13.52%,"63,565",-6.52%,"320,032",-5.26%,0,-9.83%,"25,201",,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Hubbell Trading Post NHS,"50,285",27.75%,"2,165",27.80%,"4,584",0.00%,"25,982",27.78%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Lake Mead NRA,"1,874,761",-1.05%,"1,259,981",4.73%,"50,516",-2.71%,"15,119,774",4.73%,"303,098",-2.71%,"3,096",54.80%,"19,083",23.24%,"45,656",-1.00%,"58,107",-1.00%,"96,741",10.10%,0,-47.19%,"9,804",,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Montezuma Castle NM,"376,254",-3.56%,"31,354",-3.56%,0,,"376,254",-3.56%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Navajo NM,"49,983",-18.32%,"13,035",-9.84%,0,-100.00%,"156,429",-9.83%,0,-100.00%,0,,0,,"2,378",3.53%,"2,250",20.19%,287,-18.47%,0,4.96%,127,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Organ Pipe Cactus NM,"263,186",1.08%,"65,178",0.89%,"1,288,060",8.75%,"782,137",0.89%,"644,028",8.75%,0,,0,,"6,920",-19.30%,"24,974",10.17%,277,49.73%,0,-95.20%,65,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Petrified Forest NP,"643,588",-0.21%,"141,762",-1.40%,120,0.00%,"1,701,149",-1.40%,120,0.00%,0,,0,,0,,0,,"1,451",24.44%,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Arizona,Pipe Spring NM,"27,482",9.15%,"3,435",9.15%,404,0.00%,"41,223",9.14%,900,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,463,772",-3.01%,"10,245,093",-4.53%,"4,823,183",19.02%,"122,941,226",-4.53%,"3,462,094",12.95%,"654,055",-12.17%,"145,413",-0.07%,"193,463",,"157,613",,"421,811",-1.78%,0,,"527,280",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
