Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,3,"3,906",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,4,"4,200",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,5,"12,958",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,6,"29,280",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,7,"36,921",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,8,"29,419",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,9,"18,990",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,10,"4,867",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,11,"3,630",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,12,"2,139",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2019,"151,375"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,1,865,Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,2,590,Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,3,"2,147",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,4,"3,840",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,5,"10,087",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,6,"23,006",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,7,"28,489",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,8,"25,542",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
